Media Sources,Negative,Neutral,Positive,Compound,Tweets Ago,Date,Text
BBC,0.0,1.0,0.0,0.0,38,Sat Jun 02 15:07:22 +0000 2018,"How an unusually large letter has helped bring Donald Trump and Kim Jong-un closer 

https://t.co/tcHuCfrcbH https://t.co/hRJt09OdCd"
BBC,0.396,0.604,0.0,-0.802,39,Sat Jun 02 14:25:42 +0000 2018,Egypt's Sisi sworn in for second term with vow to fight terrorism https://t.co/58rrs2TMVw
BBC,0.0,1.0,0.0,0.0,40,Sat Jun 02 12:03:49 +0000 2018,"RT @BBCSport: Russian cosmonauts tested the official 2018 World Cup ball in the zero-gravity of the International Space Station.

🎥👉 https:…"
BBC,0.0,1.0,0.0,0.0,41,Sat Jun 02 11:51:41 +0000 2018,Pedro Sánchez is sworn in as Spain's new prime minister https://t.co/sxArXV72nn
BBC,0.0,1.0,0.0,0.0,42,Sat Jun 02 10:23:45 +0000 2018,Kashmir unrest as protester run over by police dies https://t.co/VJDXsPttv3
BBC,0.0,1.0,0.0,0.0,43,Sat Jun 02 10:21:41 +0000 2018,"RT @bbcstories: ⚡️ “'I woke up and didn't recognise my wife'”

https://t.co/BwELl1oJgA"
BBC,0.0,0.693,0.307,0.4767,44,Sat Jun 02 10:02:26 +0000 2018,Google 'to end' Pentagon Artificial Intelligence project https://t.co/IXXUpKf29W
BBC,0.0,0.847,0.153,0.2023,45,Sat Jun 02 09:36:50 +0000 2018,Buffalo Wild Wings apologises over 'awful' tweets in targeted hacking https://t.co/37mZYHsxbz
BBC,0.092,0.908,0.0,-0.3919,46,Sat Jun 02 07:34:12 +0000 2018,"RT @BBCSport: Morocco's bid to host the 2026 World Cup has passed a Fifa inspection.

But it's deemed ""high risk"" in three areas.

👉 https:…"
BBC,0.291,0.709,0.0,-0.5719,47,Sat Jun 02 06:54:02 +0000 2018,Brian De Palma: Hollywood director writing Weinstein 'horror film' https://t.co/bURK1t4elJ
BBC,0.239,0.761,0.0,-0.296,48,Sat Jun 02 05:00:37 +0000 2018,US-North Korea: Trump gets a strangely large letter https://t.co/mrfZ0T0ilj
BBC,0.412,0.588,0.0,-0.6808,49,Sat Jun 02 04:01:07 +0000 2018,South China Sea dispute: Mattis says China 'intimidating neighbours' https://t.co/VqhLBO98sC
BBC,0.449,0.551,0.0,-0.6908,50,Sat Jun 02 00:16:21 +0000 2018,US millionaire charged with labourer's nuclear bunker death https://t.co/hW0qaYH0sl
BBC,0.0,0.714,0.286,0.4215,51,Sat Jun 02 00:01:51 +0000 2018,Why Iranians are sharing their #MeToo moments https://t.co/hegY10CRfU
BBC,0.244,0.756,0.0,-0.4404,52,Sat Jun 02 00:01:51 +0000 2018,"Are you scared yet? Meet Norman, the psychopathic AI https://t.co/rXqsnAfLj0"
BBC,0.0,1.0,0.0,0.0,53,Sat Jun 02 00:01:51 +0000 2018,Russia 2018: Why a single nation may never host the World Cup again https://t.co/oyA3C3HSzr
BBC,0.0,1.0,0.0,0.0,54,Sat Jun 02 00:01:51 +0000 2018,Ramadan: Women's 'shame' of eating during menstruation https://t.co/rVn67vk68u
BBC,0.233,0.485,0.282,0.128,55,Sat Jun 02 00:01:51 +0000 2018,How Mozambique's ruby smugglers nurtured jihadists https://t.co/5qx8G06ivF
BBC,0.247,0.753,0.0,-0.3182,56,Sat Jun 02 00:01:51 +0000 2018,The women who fought against gender equality https://t.co/LPykX6hBe3
BBC,0.359,0.641,0.0,-0.4215,57,Fri Jun 01 23:36:00 +0000 2018,Street art where it's forbidden https://t.co/xeWrO0rVts
BBC,0.0,1.0,0.0,0.0,58,Fri Jun 01 23:36:00 +0000 2018,Belief in sorcery is rife in Papua New Guinea. https://t.co/BwnerF1TtN
BBC,0.127,0.873,0.0,-0.4939,59,Fri Jun 01 21:11:42 +0000 2018,"RT @BBCBreaking: Visa says cardholders should now be able to use their cards, with systems operating at ""close to normal"" levels, blaming e…"
BBC,0.281,0.719,0.0,-0.5994,60,Fri Jun 01 20:38:58 +0000 2018,Five people die in US romaine lettuce E. coli outbreak https://t.co/EFV8nlUpVz
BBC,0.223,0.777,0.0,-0.3182,61,Fri Jun 01 20:17:07 +0000 2018,LA police led on bizarre slow car chase https://t.co/d10E98vWUe
BBC,0.0,1.0,0.0,0.0,62,Fri Jun 01 20:14:16 +0000 2018,Bare-knuckle boxing makes US comeback after 130 years https://t.co/SXVUPKR6P4
